ID,Page,Section heading,Category,Theorem level,Finding type,Severity,First-principles resolution,Probe machine-check status,Inscribed location,Physical insight
1008,20,Contents > Local dictionary,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1009,24,Contents > Local dictionary,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1010,24,Contents > Local dictionary,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1011,28,Contents > Local dictionary,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1012,28,Contents > Local dictionary,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1013,30,Contents > Local dictionary > Conventions and notation for the local theorem,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1014,30,Contents > Local dictionary > Conventions and notation for the local theorem,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1015,31,Contents > Local dictionary > Conventions and notation for the local theorem,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1016,31,Contents > Local dictionary > Conventions and notation for the local theorem,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1017,32,Contents > Local dictionary > Conventions and notation for the local theorem,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1018,32,Contents > Local dictionary > Conventions and notation for the local theorem,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1019,36,Contents > 1 The setup > 1.2 Mixed holomorphic-topological strings,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1020,36,Contents > 1 The setup > 1.2 Mixed holomorphic-topological strings,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1021,40,1 The setup > 1.3 The local mixed model > 1.3.1 The formal two-dimensional holomorphic singular product,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1022,40,1 The setup > 1.3 The local mixed model > 1.3.1 The formal two-dimensional holomorphic singular product,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1023,44,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1024,44,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1025,48,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1026,48,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1027,52,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1028,52,"1 The setup > 1.3 The local mixed model > 1.3.2 The mixed HT factorization spine: E2 bulk, E1 brane, derived-centre map",Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1029,56,Contents > 1 The setup > 1.5 Notation for the local theorem,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1030,56,Contents > 1 The setup > 1.5 Notation for the local theorem,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1031,60,Contents > 2 The shifted-cotangent BF Lie algebra,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1032,60,Contents > 2 The shifted-cotangent BF Lie algebra,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1033,64,Contents > 2 The shifted-cotangent BF Lie algebra > 2.2 Hamiltonian BF action,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1034,64,Contents > 2 The shifted-cotangent BF Lie algebra > 2.2 Hamiltonian BF action,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1035,68,Contents > 3 The derived commuting variety stack at N Dirac branes > 3.1 The Dirac brane stack,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1036,68,Contents > 3 The derived commuting variety stack at N Dirac branes > 3.1 The Dirac brane stack,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1037,72,Contents > 3 The derived commuting variety stack at N Dirac branes > 3.3 Open mixed brane states,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
1038,72,Contents > 3 The derived commuting variety stack at N Dirac branes > 3.3 Open mixed brane states,Cross-level infrastructure,T_spine,Strictness witness,High,"Named datum killed by the forgetful arrow at this location. Five distinct witnesses: Capelli projective curvature ℏN[c̄] ∈ H²_Lie(h̄,C)[[ℏ]] (closedness of ω(f,g)=[{f,g}]_0 by Jacobi + linearity of constant projection); pro-Matlis tower P^Π_q = lim_← P_{≤N}; diagonal kernel K^(2)_Δ = dζ_1 dζ_2/(ζ_1 ζ_2); centrality homotopy hierarchy {H^prod, H^P_0, H_3,...}; QME counterterm tower {C_{n,M}} ∈ Q^•_{w,∂,ℏ}.",Capelli cocycle Jacobi machine-checked on 5 monomial triples; Schouten derivation machine-checked on 7 polynomials,Prop 8202; axioms (i)-(vii) of Thm 7768 (main.tex:7818-7838),each witness is independently nonzero in B^adm and zero in its forgetful shadow; together they characterise the strongest rung.
1039,76,3 The derived commuting variety stack at N Dirac branes > 3.4 Open mixed brane field theory > 3.4.1 Ghost-zero open field content,Cross-level infrastructure,T_spine,Monotonicity spine,High,"Named forgetful arrow in the strength tower. The 5 conservative arrows are U_target (forgets compact matched-conventions; kernel Ob^V_mod), Stalk_b (formal-Darboux restriction; kernel = three components of Ob^global trivialised on the polydisk), H_Q (cohomology of QME differential; kernel = QME counterterm tower plus higher centrality homotopies H_n, n≥3), gr_{ℏ,F} (associated graded for ℏ-adic + scalar-contact filtrations; kernel = projective central charge ℏN[c̄]), U_B (forgets nuclear Tate topology / Köthe seminorms; kernel = pro-Matlis tower + admissibility data).","implicit in probes (2), (7), (8) — cohomology shadows of the kernel data",Prop 8202 (main.tex:8202),"every weaker theorem is reached as the image of an explicit conservative forgetful functor; collapse of any arrow produces strict inequality (witness becomes nonzero upstairs, zero downstairs)."
